지역번호,지역명,일시,일조합(hr),일사합(MJ/m2)
0,전국,Mar-98,216.9,411.41
0,전국,Feb-98,146.4,250.24
0,전국,Jan-98,153.3,222.64
0,전국,Dec-97,147.9,189.22
0,전국,Nov-97,151.9,224.47
0,전국,Oct-97,235.5,387.38
0,전국,Sep-97,203.9,424.71
0,전국,Aug-97,201.5,487.9
0,전국,Jul-97,177.9,464.01
0,전국,Jun-97,219.3,544.15
0,전국,May-97,191.9,481.06
0,전국,Apr-97,220.3,495.17
0,전국,Mar-97,214.6,427.82
0,전국,Feb-97,189,303.85
0,전국,Jan-97,178.7,252.72
0,전국,Dec-96,184.5,225.44
0,전국,Nov-96,141.9,224.88
0,전국,Oct-96,190,340.92
0,전국,Sep-96,213.6,435.02
0,전국,Aug-96,188.7,442.78
0,전국,Jul-96,178.8,458.26
0,전국,Jun-96,113.3,348.38
0,전국,May-96,233.6,537.6
0,전국,Apr-96,246.1,509.5
0,전국,Mar-96,174,355.14
0,전국,Feb-96,193.5,309.95
0,전국,Jan-96,183.9,246.56
0,전국,Dec-95,177.1,218.08
0,전국,Nov-95,208.5,276.64
0,전국,Oct-95,207.2,357.08
0,전국,Sep-95,173.5,385.03
0,전국,Aug-95,193.9,443.24
0,전국,Jul-95,160.5,413.61
0,전국,Jun-95,186.2,500.35
0,전국,May-95,233.1,531.85
0,전국,Apr-95,236.1,502.86
0,전국,Mar-95,178.4,368.73
0,전국,Feb-95,190.6,321.71
0,전국,Jan-95,202.6,274.75
0,전국,Dec-94,164.4,225.54
0,전국,Nov-94,175.6,257.42
0,전국,Oct-94,191.1,350.71
0,전국,Sep-94,235.9,478.7
0,전국,Aug-94,235,513.46
0,전국,Jul-94,248.2,563.29
0,전국,Jun-94,197.5,531.13
0,전국,May-94,216.9,537.45
0,전국,Apr-94,208.5,483.68
0,전국,Mar-94,207.9,439.43
0,전국,Feb-94,175.4,317.5
0,전국,Jan-94,170.4,252.14
0,전국,Dec-93,166,219.86
0,전국,Nov-93,118.9,203.21
