지역번호,지역명,일시,평균풍속(m/s),최대풍속(m/s),최대풍속지점,최대순간풍속(m/s),최대순간풍속지점
0,전국, 2006-06,1.8,26.3,고산,35,고산
0,전국, 2006-05,2.1,24.7,고산,31.3,고산
0,전국, 2006-04,2.7,25.6,백령도,34.3,백령도
0,전국, 2006-03,2.6,28.1,고산,34.3,고산
0,전국, 2006-02,2.4,31.3,고산,36.1,고산
0,전국, 2006-01,1.9,24.7,고산,31.1,고산
0,전국, 2005-12,2.4,33.9,고산,41.2,고산
0,전국, 2005-11,1.8,24.7,백령도,31.5,백령도
0,전국, 2005-10,1.6,21.2,고산,29.8,울릉도
0,전국, 2005-09,2,27.9,울릉도,47.3,울릉도
0,전국, 2005-08,1.9,20.9,백령도,28.7,여수
0,전국, 2005-07,1.7,20.4,고산,24,"백령도,통영,고산"
0,전국, 2005-06,1.9,16.7,백령도,28.3,제주
0,전국, 2005-05,2.1,21.2,흑산도,32.7,백령도
0,전국, 2005-04,2.6,21.5,고산,32.7,대관령
0,전국, 2005-03,2.7,33.3,고산,40.9,고산
0,전국, 2005-02,2.6,33,고산,42.7,고산
0,전국, 2005-01,2.5,32.8,고산,40,고산
0,전국, 2004-12,2,29.4,고산,37,고산
0,전국, 2004-11,1.8,25,고산,34.1,백령도
0,전국, 2004-10,1.8,20.9,고산,27.6,고산
0,전국, 2004-09,1.8,25.6,고산,37.2,울릉도
0,전국, 2004-08,1.7,24.1,고산,46.1,울릉도
0,전국, 2004-07,2,27.3,진도(첨찰산),37.6,진도(첨찰산)
0,전국, 2004-06,1.7,17.1,백령도,28.1,고산
0,전국, 2004-05,2.1,20.1,고산,26.4,백령도
0,전국, 2004-04,2.4,26.7,고산,31.8,고산
0,전국, 2004-03,2.4,28.1,고산,37.3,고산
0,전국, 2004-02,2.6,26,고산,33,고산
0,전국, 2004-01,2.1,22.6,백령도,36.4,고산
0,전국, 2003-12,2.4,27,고산,35.1,고산
0,전국, 2003-11,1.9,23.4,고산,30.5,고산
0,전국, 2003-10,1.9,23.3,고산,29.3,고산
0,전국, 2003-09,1.6,51.1,고산,60,"제주,고산"
0,전국, 2003-08,1.6,22.8,백령도,35.5,백령도
0,전국, 2003-07,1.7,20.6,백령도,36.4,고산
0,전국, 2003-06,1.7,23.1,여수,30.6,백령도
0,전국, 2003-05,1.9,21.2,고산,29.2,고산
0,전국, 2003-04,2.2,22.3,여수,30.4,여수
0,전국, 2003-03,2,30.1,고산,35.9,고산
0,전국, 2003-02,1.9,24.1,고산,29.4,고산
0,전국, 2003-01,2.3,28.2,고산,38,고산
0,전국, 2002-12,2,27.4,고산,35,고산
0,전국, 2002-11,2.3,31.5,고산,40.4,고산
0,전국, 2002-10,1.9,22.6,고산,29.3,고산
0,전국, 2002-09,1.7,23.6,고산,33.5,진도(첨찰산)
0,전국, 2002-08,1.9,43.7,고산,56.7,고산
0,전국, 2002-07,1.9,25.6,고산,31,흑산도
0,전국, 2002-06,1.9,20.5,진도(첨찰산),28.1,진도(첨찰산)
0,전국, 2002-05,2,22.2,백령도,29.4,백령도
0,전국, 2002-04,2.5,27.3,백령도,35.6,백령도
0,전국, 2002-03,2.4,26.6,고산,32.4,"대관령,고산"
0,전국, 2002-02,2.1,26.7,고산,30.8,고산
0,전국, 2002-01,2.6,31,고산,35.8,고산
0,전국, 2001-12,2.1,31.2,고산,34.5,고산
