시점,월별,소계,콜레라,장티푸스,파라티푸스,세균성이질,장출혈성대장균감염증,A형간염,소계,디프테리아,백일해,파상풍,홍역,유행성이하선염,풍진,폴리오,B형간염(급성),B형간염(산모),B형간염(주산기),일본뇌염,수두,b형헤모필루스인플루엔자,폐렴구균,소계,말라리아,성홍열,수막구균성수막염,레지오넬라증,비브리오패혈증,발진티푸스,발진열,쯔쯔가무시증,렙토스피라증,브루셀라증,탄저,공수병,신증후군출혈열,매독(1기),매독(2기),매독(선천성),크로이츠펠트-야콥병(CJD),결핵,한센병,후천성면역결핍증,C형간염,반코마이신내성황색포도알균(VRSA) 감염증,카바페넴내성장내세균속균종(CRE) 감염증,소계,페스트,황열,뎅기열,바이러스성출혈열,두창,보툴리눔독소증,중증급성호흡기증후군(SARS),동물인플루엔자 인체감염증,신종인플루엔자,야토병,큐열,웨스트나일열,신종감염병증후군,라임병,진드기매개뇌염,유비저,치쿤구니야열,중증열성혈소판감소증후군,중동호흡기증후군,지카바이러스감염증,리슈마니아증,바베시아증,크립토스포리디움증,주혈흡충증
2003,1월,250,1,20,41,188,0,-,29,0,0,0,1,28,0,0,-,-,-,0,-,-,-,-,10,1,9,0,0,0,0,5,0,0,0,0,17,-,-,-,-,"2,393",1,-,-,-,-,0,0,0,0,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2003,2월,78,0,22,6,50,0,-,28,0,0,0,0,27,1,0,-,-,-,0,-,-,-,-,8,8,3,0,0,0,1,3,3,0,0,1,7,-,-,-,-,"2,168",2,-,-,-,-,0,0,0,0,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2003,3월,117,0,21,12,84,0,-,65,0,1,0,5,57,2,0,-,-,-,0,-,-,-,-,9,8,3,1,0,0,0,2,0,3,0,0,3,-,-,-,-,"2,586",2,-,-,-,-,3,0,0,3,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2003,4월,298,0,29,2,267,0,-,191,0,0,1,2,186,2,0,-,-,-,0,-,-,-,-,25,8,5,0,0,0,0,4,0,0,0,0,6,-,-,-,-,"2,732",3,-,-,-,-,0,0,0,0,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2003,5월,162,0,20,0,142,0,-,168,0,0,1,5,160,2,0,-,-,-,0,-,-,-,-,73,3,5,0,0,0,0,7,0,1,0,1,16,-,-,-,-,"2,762",1,-,-,-,-,1,0,0,1,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2003,6월,174,0,27,2,126,19,-,203,0,0,1,4,198,0,0,-,-,-,0,-,-,-,-,176,13,3,1,5,0,0,6,3,1,0,0,14,-,-,-,-,"2,776",4,-,-,-,-,3,0,0,0,-,0,3,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2003,7월,102,0,11,3,67,21,-,202,0,1,1,1,198,1,0,-,-,-,0,-,-,-,-,275,9,2,0,9,0,0,3,1,3,0,0,12,-,-,-,-,"2,903",4,-,-,-,-,2,0,0,2,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2003,8월,134,0,17,5,108,4,-,94,0,0,1,2,91,0,0,-,-,-,0,-,-,-,-,295,4,3,0,25,0,1,1,5,1,0,0,13,-,-,-,-,"2,743",4,-,-,-,-,4,0,0,4,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2003,9월,42,0,10,7,24,1,-,86,0,1,1,2,82,0,0,-,-,-,0,-,-,-,-,186,7,1,0,29,0,0,9,14,4,0,0,18,-,-,-,-,"2,353",5,-,-,-,-,3,0,0,3,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2003,10월,38,0,11,5,17,5,-,108,0,2,1,3,101,0,0,-,-,-,1,-,-,-,-,85,10,1,1,11,0,2,642,56,2,0,0,94,-,-,-,-,"2,522",7,-,-,-,-,0,0,0,0,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2003,11월,38,0,6,3,28,1,-,140,0,0,1,3,136,0,0,-,-,-,0,-,-,-,-,22,24,1,0,1,0,4,642,28,1,0,0,122,-,-,-,-,"2,298",4,-,-,-,-,1,0,0,1,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2003,12월,24,0,5,2,16,1,-,259,0,0,0,5,254,0,0,-,-,-,0,-,-,-,-,7,12,2,0,0,0,1,91,9,0,0,0,70,-,-,-,-,"2,451",4,-,-,-,-,0,0,0,0,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2004,계,834,10,174,45,487,118,-,"1,787",0,6,11,11,"1,744",15,0,-,-,-,0,-,-,-,"38,508",864,80,8,10,57,0,19,"4,698",141,47,0,1,427,-,-,-,-,"31,503",43,610,-,-,-,21,0,0,16,-,0,4,-,-,-,-,-,-,0,-,-,-,-,-,-,-,1,0,0,0
2004,1월,32,0,17,6,9,0,-,87,0,0,0,0,87,0,0,-,-,-,0,-,-,-,-,6,8,2,0,0,0,0,7,1,0,0,0,33,-,-,-,-,"2,252",1,-,-,-,-,0,0,0,0,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2004,2월,24,0,15,1,8,0,-,57,0,1,0,2,54,0,0,-,-,-,0,-,-,-,-,7,4,1,3,0,0,0,1,0,2,0,0,15,-,-,-,-,"2,414",4,-,-,-,-,1,0,0,1,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
